ang,QWP0
179,0.0050125199799999996
180,0.00503385627
181,0.0050640001099999995
182,0.00510617065
183,0.00516308546
184,0.00523889685
185,0.0053189369299999996
186,0.00540567271
187,0.00552927713
188,0.00562655669
189,0.005756992779999999
190,0.00589150113
191,0.00602682712
192,0.00617426758
193,0.00633293075
194,0.00650157563
195,0.00666735014
196,0.006832490730000001
197,0.00700817282
198,0.0071876425
199,0.00737263144
200,0.0075575476300000005
201,0.007733216990000001
202,0.007906641260000001
203,0.00809290577
204,0.008282813719999999
205,0.00846686271
206,0.00862581055
207,0.00878613992
208,0.00894722052
209,0.00910119434
210,0.00926840039
211,0.00940760583
212,0.009527630939999998
213,0.00965294839
214,0.00976595766
215,0.00987721614
216,0.00997107054
217,0.010049260700000002
218,0.0101162386
219,0.010176168
220,0.0102256818
221,0.0102623508
222,0.0102807135
223,0.010291905700000001
224,0.0102854192
225,0.0102715148
226,0.0102371059
227,0.010200165
228,0.010146705800000001
229,0.0100799707
230,0.009988016249999999
231,0.00989855107
232,0.00981372159
233,0.00971180089
234,0.00959519093
235,0.00945004558
236,0.009315976969999999
237,0.00917560737
238,0.00902391821
239,0.008866348250000001
240,0.00869552241
241,0.008521346899999999
242,0.00834270668
243,0.00817011914
244,0.00799156805
245,0.00781277504
246,0.00762452646
247,0.00745437092
248,0.00728231544
249,0.00710724089
250,0.00692547837
251,0.00674788498
252,0.00658902218
253,0.00644104921
254,0.00629607803
255,0.0061425435
256,0.00599384521
257,0.005863371369999999
258,0.005743697779999999
259,0.00563256617
260,0.0055301075
261,0.00543171245
262,0.0053529152
263,0.00528887313
264,0.0052338828
265,0.00518966954
266,0.00515487591
267,0.00513481518
268,0.00512722045
269,0.00512972701
270,0.0051471552100000005
271,0.005176090780000001
272,0.00522174696
273,0.005274697740000001
274,0.0053387839199999995
275,0.00541422014
276,0.00550481263
277,0.0056108810899999995
278,0.0057199663399999994
279,0.00583561814
280,0.0059626513600000005
281,0.00610364987
282,0.0062520885
283,0.00640059625
284,0.00654903124
285,0.0067128321500000004
286,0.00688275213
287,0.00706774608
288,0.00724198662
289,0.00740589758
290,0.00758481974
291,0.00776823435
292,0.007955460210000001
293,0.00813632687
294,0.0083065006
295,0.008470276039999999
296,0.00863921923
297,0.00881190681
298,0.008973100190000001
299,0.00912886935
300,0.00927056681
301,0.00940481277
302,0.00954489224
303,0.00966658081
304,0.00976943375
305,0.009874313039999999
306,0.009962924199999999
307,0.0100491625
308,0.0101152946
309,0.0101601436
310,0.0102056392
311,0.0102361
312,0.010259346700000001
313,0.0102641889
314,0.0102608865
315,0.0102458471
316,0.010213158
317,0.010175240299999999
318,0.010107202800000001
319,0.0100415282
320,0.00996565541
